comparador,dc,reduccion_mediana,reduccion_p05,reduccion_p95,prob_umbral_a,ocupacion_mediana,prob_umbral_b,no_show_base_mediana,no_show_medapp_mediana
C0,0.0,0.32111240020891996,0.0768019951266691,0.4845567624623602,0.2519,0.11721611721611724,0.2499,0.25186177584773173,0.17121105328711705
C0,0.1,0.3806346843408193,0.14895887219279874,0.5326229144921042,0.4335,0.1215471886298467,0.273,0.2518319509427343,0.15584415584415584
C0,0.25,0.4753149805109957,0.2700636056802025,0.6125153455331339,0.7396,0.12903225806451601,0.3309,0.2520053619302949,0.13196480938416422
C0,0.4,0.5699817029251815,0.39436776094276094,0.6974469909518883,0.9452,0.1351351351351351,0.3714,0.25177832417610213,0.1076360217990574
C0,"U(0; 0,40)",0.44291841662524234,0.19248444253182698,0.6247929831937831,0.6241,0.1261554101385639,0.3072,0.2517564788153024,0.1397192838253163
C1,0.0,0.10053980692278558,-0.11566014661709088,0.2910980234818335,0.0027,0.02657667631783267,0.0002,0.19226180584849145,0.17135535204874985
C1,0.1,0.13461719957034896,-0.09345818547589776,0.33144574086750195,0.0108,0.02791996881902048,0.0003,0.18272397862767553,0.15674625402604678
C1,0.25,0.19308223911504419,-0.04453565012081225,0.40047649466570096,0.0505,0.029725004725004722,0.0001,0.16646486708345853,0.13346206348985248
C1,0.4,0.27307813245674306,0.004693567093687636,0.4844062811158438,0.1776,0.03312777925582455,0.0006,0.14987080103359174,0.1074057893045541
C1,"U(0; 0,40)",0.17001556967685644,-0.06939130012774924,0.4018991262112,0.052,0.0284919613277822,0.0001,0.17243518439291522,0.1407994107639321
