resultado,parametro,spearman
reduccion_no_show_rel,p0,-0.2150171505767517
reduccion_no_show_rel,rr,0.6063105795763816
reduccion_no_show_rel,entrega,0.17960608962421615
reduccion_no_show_rel,cancela,0.525285250761156
reduccion_no_show_rel,reocupa,-0.004736923541426079
reduccion_no_show_rel,llenado,-0.009138083821490494
reduccion_no_show_rel,autogestion,0.01243051940245436
delta_ocupacion_rel,p0,0.1779217536377538
delta_ocupacion_rel,rr,0.6880272670639008
delta_ocupacion_rel,entrega,0.11267153886453878
delta_ocupacion_rel,cancela,0.08672708530998303
delta_ocupacion_rel,reocupa,0.13623308565066844
delta_ocupacion_rel,llenado,-0.0020509813223375264
delta_ocupacion_rel,autogestion,0.012269870574930447
delta_ocupacion_pp,p0,0.07116761482909631
delta_ocupacion_pp,rr,0.7096873075555432
delta_ocupacion_pp,entrega,0.11278196101887393
delta_ocupacion_pp,cancela,0.08869324639343416
delta_ocupacion_pp,reocupa,0.1349963027072953
delta_ocupacion_pp,llenado,0.173723324518407
delta_ocupacion_pp,autogestion,0.012419930254468466
