cancela,entrega,prob_umbral_40,mediana_reduccion
0.1,0.85,0.2775,0.3469438990538942
0.1,0.876,0.2775,0.3433917851979787
0.1,0.902,0.3375,0.36634524256316603
0.1,0.928,0.425,0.38446854706250216
0.1,0.954,0.4325,0.3767130032753261
0.1,0.98,0.485,0.3915106677381771
0.15,0.85,0.3375,0.36260358034966583
0.15,0.876,0.3775,0.37018248830385153
0.15,0.902,0.4325,0.384397248817465
0.15,0.928,0.5325,0.409403607796593
0.15,0.954,0.5025,0.40126409771450716
0.15,0.98,0.57,0.41744362660607676
0.2,0.85,0.44,0.3861317710375055
0.2,0.876,0.4875,0.39796308555896703
0.2,0.902,0.57,0.41585316109593307
0.2,0.928,0.585,0.4243651653419444
0.2,0.954,0.6125,0.4269738892498848
0.2,0.98,0.6025,0.43095521237984824
0.25,0.85,0.52,0.40397121821101484
0.25,0.876,0.5825,0.4234033506525616
0.25,0.902,0.6275,0.4362742085285835
0.25,0.928,0.6625,0.4481159853921605
0.25,0.954,0.71,0.46337630921407735
0.25,0.98,0.7225,0.46617233601782115
0.3,0.85,0.5975,0.42751873734930895
0.3,0.876,0.6475,0.4418684297838713
0.3,0.902,0.7175,0.4672593325043812
0.3,0.928,0.7325,0.47223693580756987
0.3,0.954,0.775,0.49121360943427916
0.3,0.98,0.79,0.509974479984708
0.35,0.85,0.71,0.4570164702525625
0.35,0.876,0.77,0.4785408624949675
0.35,0.902,0.78,0.48441304721328554
0.35,0.928,0.8475,0.49588518997701586
0.35,0.954,0.85,0.5155052626352623
0.35,0.98,0.8725,0.5363095508270097
0.4,0.85,0.795,0.4714043462976809
0.4,0.876,0.875,0.4974614268564408
0.4,0.902,0.875,0.5247036155805209
0.4,0.928,0.8525,0.5246067102115499
0.4,0.954,0.915,0.5552653995024224
0.4,0.98,0.9375,0.5655767304274438
0.45,0.85,0.8675,0.5116365269868905
0.45,0.876,0.85,0.5132254269124316
0.45,0.902,0.9225,0.5300160157234828
0.45,0.928,0.935,0.5513423378467227
0.45,0.954,0.9325,0.5709477284013593
0.45,0.98,0.965,0.5858927670109177
0.5,0.85,0.935,0.5340342220179884
0.5,0.876,0.945,0.5516073933535058
0.5,0.902,0.9625,0.5674529675544977
0.5,0.928,0.9775,0.5841575268406638
0.5,0.954,0.98,0.5990296955592372
0.5,0.98,0.9875,0.6324599879509756
